Date,Open,High,Low,Close,Adj Close,Volume,Date,DaysBack,NextDayGain|Loss%,LstSqk_5Days,LstSqbias_5Days,LstSqk_10Days,LstSqbias_10Days,LstSqk_20Days,LstSqbias_20Days,LstSqk_50Days,LstSqbias_50Days,LstSqk_200Days,LstSqbias_200Days,5DMovAve,20DMovAve,200DMovAve,UpBlg,LwBlg,NormalizedBollinger,14-Day RSI,StcOsc K%,StcOsc D%,StcOsc D%D%,StcOsc K%-D%,StcOsc Diff(K%-D%)
2017-08-07,13.33,13.57,13.27,13.43,13.43,57486800,2017-08-07,-46,-2.382725242,-0.339,12.066,-0.0769696969697,12.3376363636,-0.0125037593985,12.4667142857,,,,,13.374,13.786,11.69455,0.783659431938,-0.783659431938,-0.454278970547,49.2917847025,0.155893536122,0.0853910530495,0.0933708944457,0.0705024830722,-0.112327578129
2017-08-04,13.2,13.36,13.02,13.12,13.12,64254000,2017-08-04,-47,2.36280487805,-0.26,12.402,-0.0798181818182,12.3998181818,-0.0296842105263,12.3,,,,,13.41,13.805,11.66125,0.765533869444,-0.765533869444,-0.894800383551,40.395480226,0.0380228136882,0.0663646174252,0.121219902235,-0.028341803737,0.0988442868092
2017-08-03,13.42,13.52,13.08,13.24,13.24,52557400,2017-08-03,-48,-0.906344410876,-0.083,12.98,-0.0781212121212,12.4974545455,-0.0456842105263,12.16,,,,,13.576,13.817,11.6293,0.726870726219,-0.726870726219,-0.793813781718,40.395480226,0.0622568093385,0.128357012863,0.179987251982,-0.066100203524,0.037758399787
2017-08-02,13.81,13.93,13.12,13.37,13.37,67502200,2017-08-02,-49,-0.972326103216,-0.033,13.188,-0.0919393939394,12.5092727273,-0.057969924812,12.0782857143,0.0115039615846,13.1008470588,,,13.752,13.806,11.59645,0.769070525821,-0.769070525821,-0.566918098356,47.8947368421,0.098814229249,0.168938076416,0.236312692139,-0.0701238471673,0.00402364364334
2017-08-01,13.72,13.86,13.45,13.71,13.71,49149900,2017-08-01,-50,-2.47994164843,-0.081,13.212,-0.141333333333,12.356,-0.0658496240601,12.0814285714,0.00680912364946,12.9824235294,,,14.03,13.797,11.56335,0.794351108902,-0.794351108902,-0.109523356895,43.1279620853,0.224,0.242666666667,0.336593586875,-0.0186666666667,-0.0514571805007
2017-07-31,14.09,14.22,13.47,13.61,13.61,69108700,2017-07-31,-51,0.734753857458,-0.145,13.12,-0.159575757576,12.3589090909,-0.0712180451128,12.0994285714,0.00277406962785,12.8817647059,,,14.11,13.719,11.52725,1.08390910476,-1.08390910476,-0.100561937825,46.9026548673,0.184,0.297333333333,0.468396595154,-0.113333333333,0.0946666666667
2017-07-28,13.85,14.1,13.68,13.95,13.95,66763800,2017-07-28,-52,-2.43727598566,-0.166,13.244,-0.150727272727,12.5707272727,-0.0825263157895,12.068,-0.00150636254502,12.7864941176,,,14.22,13.6625,11.4923,1.2174152948,-1.2174152948,0.236156060491,51.6431924883,0.32,0.469780760626,0.634440658046,-0.149780760626,0.0364474272931
2017-07-27,14.99,15.04,13.7,14.12,14.12,130303700,2017-07-27,-53,-1.20396600567,-0.174,13.404,-0.12296969697,12.8956363636,-0.0950827067669,12.0297142857,-0.00555294117647,12.7051529412,,,14.206,13.595,11.45505,1.29737386569,-1.29737386569,0.404663616159,58.3700440529,0.388,0.638075691502,0.747467038713,-0.250075691502,0.100294930876
2017-07-26,15.13,15.65,14.4,14.76,14.76,236083000,2017-07-26,-54,-4.33604336043,-0.261,13.508,-0.153212121212,12.9525454545,-0.114030075188,11.9637142857,-0.0112893157263,12.5930117647,,,14.142,13.5505,11.41865,1.28252177575,-1.28252177575,0.943063909613,70.5188679245,0.701342281879,0.79546552201,0.791366478646,-0.0941232401313,-0.155952451371
2017-07-25,14.29,14.32,13.87,14.11,14.11,98047400,2017-07-25,-55,4.60666194189,-0.181,13.748,-0.143272727273,13.0972727273,-0.115368421053,12.048,-0.0152864345738,12.5110823529,,,13.9,13.4825,11.3786,1.14986269203,-1.14986269203,0.545717331598,62.2340425532,0.824884792627,0.808859902627,0.754083244378,0.0160248899997,-0.110148130131
2017-07-24,14.0,14.44,13.97,14.16,14.16,71014900,2017-07-24,-56,-0.353107344633,-0.041,14.138,-0.145272727273,13.1612727273,-0.112609022556,12.1797142857,-0.019593757503,12.4203529412,,,13.774,13.481,11.34285,1.14648937838,-1.14648937838,0.592242730551,71.1578947368,0.860169491525,0.769774011299,0.693502824859,0.090395480226,-0.0743705902262
2017-07-21,13.7,14.05,13.62,13.88,13.88,51045700,2017-07-21,-57,2.01729106628,0.108,14.422,-0.102484848485,13.4298181818,-0.107729323308,12.3015714286,-0.0214324129652,12.3987058824,,,13.702,13.4815,11.30595,1.14774424072,-1.14774424072,0.347202787748,64.5833333333,0.741525423729,0.683615819209,0.645951035782,0.0579096045198,0.0324858757062
2017-07-20,13.61,13.89,13.45,13.8,13.8,47707500,2017-07-20,-58,0.579710144928,0.215,14.572,-0.0541212121212,13.7034545455,-0.098962406015,12.4578571429,-0.0230684273709,12.3796235294,,,13.71,13.5065,11.2714,1.20466243361,-1.20466243361,0.243636716653,62.3966942149,0.707627118644,0.627118644068,0.638566365645,0.0805084745763,-0.0225988700565
2017-07-19,13.62,13.74,13.41,13.55,13.55,51957800,2017-07-19,-59,1.84501845018,0.148,14.196,0.006,13.992,-0.089007518797,12.5984285714,-0.0239908763505,12.3732235294,,,13.656,13.5155,11.23715,1.21652611541,-1.21652611541,0.0283594405109,53.0651340996,0.601694915254,0.627118644068,0.647697109895,-0.0254237288136,0.10593220339
2017-07-18,13.29,13.53,13.15,13.48,13.48,78366500,2017-07-18,-60,0.519287833828,0.169,14.112,0.0494545454545,14.1645454545,-0.0828270676692,12.6801428571,-0.0246708283313,12.3713647059,,,13.804,13.47,11.20395,1.27762938371,-1.27762938371,0.00782699594069,50.7518796992,0.572033898305,0.661461808799,0.672690807717,-0.0894279104942,0.0640041816807
2017-07-17,14.03,14.12,13.51,13.8,13.8,71690800,2017-07-17,-61,-2.31884057971,0.048,13.798,0.0793333333333,14.318,-0.0764210526316,12.793,-0.0253224489796,12.3824,,,13.886,13.3925,11.1699,1.45131337978,-1.45131337978,0.280780157944,47.5352112676,0.707627118644,0.654510876818,0.684924448003,0.0531162418257,-0.14254415232
2017-07-14,13.46,13.93,13.32,13.92,13.92,82084600,2017-07-14,-62,-0.862068965517,-0.049,13.612,0.082303030303,14.3283636364,-0.0617969924812,13.0164285714,-0.026518607443,12.3792941176,,,13.888,13.2745,11.13385,1.67788682888,-1.67788682888,0.384710094203,47.7876106195,0.704724409449,0.702099737533,0.718014141675,0.00262467191601,0.0504915699097
2017-07-13,14.33,14.49,13.43,13.53,13.53,111656900,2017-07-13,-63,2.88248337029,-0.04,13.576,0.0948484848485,14.3258181818,-0.0373233082707,13.3194285714,-0.0283611044418,12.3387529412,,,13.776,13.1535,11.09695,1.82451464346,-1.82451464346,0.206356250057,42.2303473492,0.551181102362,0.698162729659,0.708927061858,-0.146981627297,0.149606299213
2017-07-12,14.17,14.39,13.96,14.29,14.29,78508400,2017-07-12,-64,-5.31840447866,-0.135,13.534,0.0161212121212,13.9245454545,-0.0327969924812,13.4354285714,-0.0322391356543,12.2613411765,,,13.674,13.0655,11.0609,1.91555928345,-1.91555928345,0.639238895177,53.0332681018,0.850393700787,0.753779957833,0.682286540383,0.0966137429543,-0.243595370251
2017-07-11,13.77,14.1,13.62,13.89,13.89,71102300,2017-07-11,-65,2.87976961843,-0.055,13.776,-0.00315151515151,13.8158181818,-0.0247819548872,13.5505714286,-0.0358996398559,12.1746588235,,,13.454,12.949,11.0222,1.88516535642,-1.88516535642,0.499160456558,60.3305785124,0.692913385827,0.674838498082,0.620909337114,0.0180748877448,0.0785388552095
2017-07-10,13.61,13.88,13.27,13.81,13.81,78320200,2017-07-10,-66,0.579290369298,-0.014,13.86,-0.0240606060606,13.6867272727,-0.0195037593985,13.6197142857,-0.0378391356543,12.1409411765,,,13.106,12.859,10.9846,1.86779802808,-1.86779802808,0.509155693338,64.0718562874,0.718032786885,0.618241165234,0.547857840322,0.0997916216511,-0.0817167339063
2017-07-07,13.27,13.75,13.18,13.36,13.36,88392100,2017-07-07,-67,3.36826347305,0.082,13.94,-0.006,13.716,-0.00233082706767,13.7948571429,-0.0385555822329,12.1289882353,,,12.84,12.7825,10.947,1.82871683515,-1.82871683515,0.315795200711,64.2857142857,0.613569321534,0.569648348026,0.476331080684,0.0439209735082,0.0558706481429
2017-07-06,12.94,13.32,12.67,13.02,13.02,88646500,2017-07-06,-68,2.6113671275,0.307,14.288,0.0296363636364,13.7983636364,0.0181654135338,13.9785714286,-0.0370737094838,12.1752941176,,,12.688,12.7595,10.91105,1.80960565637,-1.80960565637,0.14395401511,61.801242236,0.523121387283,0.455684007707,0.402055234425,0.0674373795761,-0.0235164060679
2017-07-05,12.36,13.21,12.32,13.19,13.19,99450200,2017-07-05,-69,-1.28885519333,0.219,13.892,0.0632121212121,13.9134545455,0.0338496240602,14.1185714286,-0.0353070828331,12.2371764706,,,12.73,12.7275,10.87675,1.81284161935,-1.81284161935,0.255124328051,60.8562691131,0.57225433526,0.40366088632,0.400449582531,0.16859344894,-0.101156069364
2017-07-03,12.57,12.73,12.13,12.15,12.15,39929100,2017-07-03,-70,8.55967078189,0.349,13.804,0.153818181818,14.1881818182,0.0587518796992,14.2771428571,-0.030906122449,12.3436,,,12.772,12.6695,10.84105,1.82472463676,-1.82472463676,-0.284700490986,51.6695957821,0.271676300578,0.346820809249,0.44572896596,-0.0751445086705,0.243737957611
